REGION,RELATIVEPOS,y
upstream,1,-0.89051552590225
upstream,2,-0.888861800761127
upstream,3,-0.888641688064671
upstream,4,-0.892796764777316
upstream,5,-0.891078721659125
upstream,6,-0.89309297169044
upstream,7,-0.898860250829287
upstream,8,-0.901721868800542
upstream,9,-0.904515309036294
upstream,10,-0.90587553322343
upstream,11,-0.913142456705603
upstream,12,-0.923448670832364
upstream,13,-0.934706599723909
upstream,14,-0.937911015864433
upstream,15,-0.942144712187572
upstream,16,-0.950758993736402
upstream,17,-0.953778150064858
upstream,18,-0.958824417465037
upstream,19,-0.962220127046458
upstream,20,-0.950212917172667
gene body,21,-0.895846917147354
gene body,22,-0.837242961552768
gene body,23,-0.808349799109549
downstream,60,-0.873031817501022
gene body,24,-0.798419788306112
downstream,59,-0.869835354075572
gene body,25,-0.801951421554244
downstream,58,-0.870189800184446
gene body,26,-0.798468831451661
downstream,57,-0.865521214698572
downstream,56,-0.863344524855167
gene body,27,-0.80604070260139
downstream,55,-0.867367016251886
gene body,28,-0.802677591545712
downstream,54,-0.872069556487408
gene body,29,-0.797613836101959
downstream,53,-0.874085945634129
gene body,30,-0.802805047969368
downstream,52,-0.873498005816633
gene body,31,-0.80087935721457
downstream,51,-0.875812305876407
gene body,32,-0.801136583956093
downstream,50,-0.879195717469615
gene body,33,-0.793740398558624
downstream,49,-0.883123874919823
gene body,34,-0.79991035958297
downstream,48,-0.89032877378326
gene body,35,-0.797963493581404
downstream,47,-0.894461201044741
downstream,46,-0.898821291640241
gene body,36,-0.799354270983197
downstream,45,-0.907609820611895
gene body,37,-0.806747312742996
downstream,44,-0.923648777053446
gene body,38,-0.818779993275975
downstream,43,-0.939819804013701
gene body,39,-0.859072494429445
downstream,42,-0.945562478857533
gene body,40,-0.91163151374245
downstream,41,-0.938952914759787
