CHROM,START,STOP,REGION,gene,RELATIVEPOS,LENGTH,ID
5,-777,-677,downstream,AT5G01010,60,100,1
5,-677,-577,downstream,AT5G01010,59,100,2
5,-577,-477,downstream,AT5G01010,58,100,3
5,-477,-377,downstream,AT5G01010,57,100,4
5,-377,-277,downstream,AT5G01010,56,100,5
5,-277,-177,downstream,AT5G01010,55,100,6
5,-177,-77,downstream,AT5G01010,54,100,7
5,-77,23,downstream,AT5G01010,53,100,8
5,23,123,downstream,AT5G01010,52,100,9
5,123,223,downstream,AT5G01010,51,100,10
5,223,323,downstream,AT5G01010,50,100,11
5,323,423,downstream,AT5G01010,49,100,12
5,423,523,downstream,AT5G01010,48,100,13
5,523,623,downstream,AT5G01010,47,100,14
5,623,723,downstream,AT5G01010,46,100,15
5,723,823,downstream,AT5G01010,45,100,16
5,823,923,downstream,AT5G01010,44,100,17
5,923,1023,downstream,AT5G01010,43,100,18
5,1023,1123,downstream,AT5G01010,42,100,19
5,1123,1223,downstream,AT5G01010,41,100,20
5,1223,1323,gene body,AT5G01010,40,100,21
5,1323,1423,gene body,AT5G01010,39,100,22
5,1423,1523,gene body,AT5G01010,39,100,23
5,1523,1623,gene body,AT5G01010,38,100,24
5,1623,1723,gene body,AT5G01010,38,100,25
5,1723,1823,gene body,AT5G01010,37,100,26
5,1823,1923,gene body,AT5G01010,37,100,27
5,1923,2023,gene body,AT5G01010,36,100,28
5,2023,2123,gene body,AT5G01010,36,100,29
5,2123,2223,gene body,AT5G01010,35,100,30
5,2223,2323,gene body,AT5G01010,35,100,31
5,2323,2423,gene body,AT5G01010,34,100,32
5,2423,2523,gene body,AT5G01010,34,100,33
5,2523,2623,gene body,AT5G01010,33,100,34
5,2623,2723,gene body,AT5G01010,33,100,35
5,2723,2823,gene body,AT5G01010,32,100,36
5,2823,2923,gene body,AT5G01010,32,100,37
5,2923,3023,gene body,AT5G01010,31,100,38
5,3023,3123,gene body,AT5G01010,31,100,39
5,3123,3223,gene body,AT5G01010,30,100,40
5,3223,3323,gene body,AT5G01010,30,100,41
5,3256,3356,downstream,AT5G01015,60,100,79
5,3323,3423,gene body,AT5G01010,29,100,42
5,3356,3456,downstream,AT5G01015,59,100,80
5,3423,3523,gene body,AT5G01010,29,100,43
5,3456,3556,downstream,AT5G01015,58,100,81
5,3523,3623,gene body,AT5G01010,28,100,44
5,3556,3656,downstream,AT5G01015,57,100,82
5,3623,3723,gene body,AT5G01010,28,100,45
5,3656,3756,downstream,AT5G01015,56,100,83
5,3723,3823,gene body,AT5G01010,27,100,46
5,3756,3856,downstream,AT5G01015,55,100,84
5,3823,3923,gene body,AT5G01010,27,100,47
5,3856,3956,downstream,AT5G01015,54,100,85
5,3917,4017,downstream,AT5G01020,60,100,125
5,3923,4023,gene body,AT5G01010,26,100,48
5,3956,4056,downstream,AT5G01015,53,100,86
5,4017,4117,downstream,AT5G01020,59,100,126
5,4023,4123,gene body,AT5G01010,26,100,49
5,4056,4156,downstream,AT5G01015,52,100,87
5,4117,4217,downstream,AT5G01020,58,100,127
5,4123,4223,gene body,AT5G01010,25,100,50
5,4156,4256,downstream,AT5G01015,51,100,88
5,4217,4317,downstream,AT5G01020,57,100,128
5,4223,4323,gene body,AT5G01010,25,100,51
5,4256,4356,downstream,AT5G01015,50,100,89
5,4317,4417,downstream,AT5G01020,56,100,129
5,4323,4423,gene body,AT5G01010,24,100,52
5,4356,4456,downstream,AT5G01015,49,100,90
5,4417,4517,downstream,AT5G01020,55,100,130
5,4423,4523,gene body,AT5G01010,24,100,53
5,4456,4556,downstream,AT5G01015,48,100,91
5,4517,4617,downstream,AT5G01020,54,100,131
5,4523,4623,gene body,AT5G01010,23,100,54
5,4556,4656,downstream,AT5G01015,47,100,92
5,4617,4717,downstream,AT5G01020,53,100,132
5,4623,4723,gene body,AT5G01010,23,100,55
5,4656,4756,downstream,AT5G01015,46,100,93
5,4717,4817,downstream,AT5G01020,52,100,133
5,4723,4823,gene body,AT5G01010,22,100,56
5,4756,4856,downstream,AT5G01015,45,100,94
5,4817,4917,downstream,AT5G01020,51,100,134
5,4823,4923,gene body,AT5G01010,22,100,57
5,4856,4956,downstream,AT5G01015,44,100,95
5,4917,5017,downstream,AT5G01020,50,100,135
5,4923,5023,gene body,AT5G01010,21,100,58
5,4956,5056,downstream,AT5G01015,43,100,96
5,5017,5117,downstream,AT5G01020,49,100,136
5,5056,5156,downstream,AT5G01015,42,100,97
